sname,District_Name,Crop_Year,cseason,Crop,Area,production,ratio_of_production,label
Andaman and Nicobar Islands,NICOBARS,2000.0,Kharif     ,Arecanut,1254.0,2000.0,0.1275347532202525,1
Andaman and Nicobar Islands,NICOBARS,2000.0,Kharif     ,Other Kharif pulses,456755.0,57845453.0,3688.6527866343577,2
Andaman and Nicobar Islands,NICOBARS,2000.0,Kharif     ,Rice,102.0,321.0,0.02046932789185053,1
Andaman and Nicobar Islands,NICOBARS,2000.0,Whole Year ,Banana,176.0,641.0,0.040874888407090935,1
Andaman and Nicobar Islands,NICOBARS,2000.0,Whole Year ,Cashewnut,720.0,165.0,0.010521617140670833,1
Andaman and Nicobar Islands,NICOBARS,2000.0,Whole Year ,Coconut ,18168.0,6510.0,0.41512562173192197,1
Andaman and Nicobar Islands,NICOBARS,2000.0,Whole Year ,Dry ginger,36.0,100.0,0.006376737661012626,1
Andaman and Nicobar Islands,NICOBARS,2000.0,Whole Year ,Sugarcane,1.0,2.0,0.00012753475322025253,1
Andaman and Nicobar Islands,NICOBARS,2000.0,Whole Year ,Sweet potato,5.0,15.0,0.0009565106491518938,1
Andaman and Nicobar Islands,NICOBARS,2000.0,Whole Year ,Tapioca,40.0,169.0,0.010776686647111337,1
Andaman and Nicobar Islands,NICOBARS,2001.0,Kharif     ,Arecanut,1254.0,2061.0,0.13142456319347023,1
Andaman and Nicobar Islands,NICOBARS,2001.0,Kharif     ,Other Kharif pulses,2.0,1.0,6.376737661012626e-05,1
Andaman and Nicobar Islands,NICOBARS,2001.0,Kharif     ,Rice,83.0,300.0,0.019130212983037877,1
Andaman and Nicobar Islands,NICOBARS,2001.0,Whole Year ,Cashewnut,719.0,192.0,0.012243336309144242,1
Andaman and Nicobar Islands,NICOBARS,2001.0,Whole Year ,Coconut ,18190.0,64430000.0,4108.532074990435,2
Andaman and Nicobar Islands,NICOBARS,2001.0,Whole Year ,Dry ginger,46.0,100.0,0.006376737661012626,1
Andaman and Nicobar Islands,NICOBARS,2001.0,Whole Year ,Sugarcane,1.0,1.0,6.376737661012626e-05,1
Andaman and Nicobar Islands,NICOBARS,2001.0,Whole Year ,Sweet potato,11.0,33.0,0.0021043234281341665,1
